sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-1;34;L1;ANCESTRAL;0.011;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-4;34;L1;ANCESTRAL;0.03;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-1;34;L1;ANCESTRAL;0.003;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-1;34;L1;ANCESTRAL;0.011;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_L1;05/06/2016 09:00;L1-4;34;L1;ANCESTRAL;0.03;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-1;34;L1;ANCESTRAL;0.003;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-2;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-3;34;L1;ANCESTRAL;0.001;;
Chsim_06/05/2016 9:00:00_40mlFlasks_34_5;05/06/2016 09:00;5-4;34;L1;ANCESTRAL;0.001;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_L1;05/07/2016 08:40;L1-1;34;L1;ANCESTRAL;0.024;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_L1;05/07/2016 08:40;L1-2;34;L1;ANCESTRAL;0.01;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_L1;05/07/2016 08:40;L1-4;34;L1;ANCESTRAL;0.041;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-1;34;L1;ANCESTRAL;0.015;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-2;34;L1;ANCESTRAL;0.004;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-3;34;L1;ANCESTRAL;0.006;;
Chsim_07/05/2016 8:40:00_40mlFlasks_34_5;05/07/2016 08:40;5-4;34;L1;ANCESTRAL;0.007;;
